"jurisdiction","total","males","females","whites","blacks","other_race","unknown_race"
"Allegany","518","254","263","503",NA,NA,"0"
"Anne Arundel","2589","1342","1241","2204","311","59","15"
"Baltimore City","3048","1512","1533","1094","1898","41","15"
"Baltimore County","4369","2081","2285","3502","741","109","17"
"Calvert","360","168","185","308","46",NA,NA
"Caroline","156","79","77","136",NA,NA,"0"
"Carroll","839","412","427","800","24",NA,NA
"Cecil","455","234","221","431",NA,NA,"0"
"Charles","500","267","230","313","163","16","8"
"Dorchester","171","83","87","122",NA,NA,NA
"Frederick","1035","488","545","934","73","20","8"
"Garrett","158","65","93","155","0",NA,NA
"Harford","1333","666","667","1169","125","29","10"
"Howard","1084","506","575","810","167","95","12"
"Kent","141","72","69","115",NA,NA,NA
"Montgomery","4052","1989","2061","2952","566","467","67"
"Prince George's","3003","1516","1483","851","1957","153","42"
"Queen Anne's","258","139","119","234","21",NA,NA
"Saint Mary's","370","191","178","329","36",NA,NA
"Somerset","137","83","54","100",NA,NA,"0"
"Talbot","271","154","117","235","32",NA,NA
"Washington","786","391","394","735","37",NA,NA
"Wicomico","561","320","239","433","116",NA,NA
"Worcester","387","205","181","320","41","19","7"
"Unknown County","219","129","89","127","47","14"
